Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
0000016f-ca9a-3867-0000-000000000000,5f9d847a-d9f0-3a06-bb35-d170197d3ddc,Rita460 Schiller186,F,GENERAL PRACTICE,1822 MULBERRY STREET,SCRANTON,PA,18510,41.404178,-75.665908,1180
0000016f-ca9a-3867-0000-00000000000a,f85e2dbe-6b77-3d1c-9f45-512869222322,Tomika243 Goyette777,F,GENERAL PRACTICE,1500 FIFTH AVENUE,MC KEESPORT,PA,15132,40.338789,-79.796072,2367
0000016f-ca9a-3867-0000-000000000014,a95900fc-145a-3255-b7a6-92315fc1f076,Tisa11 Raynor401,F,GENERAL PRACTICE,549 EAST FAIR STREET,BLOOMSBURG,PA,17815,41.002717,-76.45658,199
0000016f-ca9a-3867-0000-00000000001e,bd28c4c9-969a-309e-89b1-2b8c05b53ca8,Herb645 King743,M,GENERAL PRACTICE,503 NORTH 21ST STREET,CAMP HILL,PA,17011,40.24217,-76.927397,776
0000016f-ca9a-3867-0000-000000000028,a4276a14-813b-3690-b3ba-cd954ba65ebf,Mickey576 Medhurst46,M,GENERAL PRACTICE,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,40.961676,-76.61204000000002,99
0000016f-ca9a-3867-0000-000000000032,6e18e630-e9a5-3e3a-aaf3-e15adcb9c043,Cammie978 Corkery305,F,GENERAL PRACTICE,724 PERSHING STREET,ELLWOOD CITY,PA,16117,40.861982,-80.282913,1518
0000016f-ca9a-3867-0000-00000000003c,81f334bd-8287-30cd-8020-6b673494ffca,Lorena247 Covarrubias273,F,GENERAL PRACTICE,232 WEST 25TH STREET,ERIE,PA,16544,42.118516,-79.982388,1642
0000016f-ca9a-3867-0000-000000000046,e10235b2-91af-31e6-a325-386623b0882c,Lorenzo669 Kuphal363,M,GENERAL PRACTICE,100 MEDICAL CAMPUS DRIVE,LANSDALE,PA,19446,40.241654,-75.28120799999998,942
0000016f-ca9a-3867-0000-000000000050,8d039cce-cb2d-3126-9b2b-3e670a2de56b,Seth414 Crooks415,M,GENERAL PRACTICE,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,40.964126,-76.889957,343
0000016f-ca9a-3867-0000-00000000005a,3baf6390-2190-39c5-99d1-1245725d57a9,Misty404 Veum823,F,GENERAL PRACTICE,1211 WILMINGTON AVENUE,NEW CASTLE,PA,16105,40.995617,-80.345807,749
0000016f-ca9a-3867-0000-000000000064,cbc7d2d1-6194-38a5-b7f4-d19e7668fb51,Stephen891 Conroy74,M,GENERAL PRACTICE,135 LAFAYETTE AVENUE,PALMERTON,PA,18071,40.804094,-75.617106,1382
0000016f-ca9a-3867-0000-00000000006e,fcfe244e-8fd6-3bad-8d9d-c3fcdd174834,Andrea7 Orosco477,F,GENERAL PRACTICE,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,40.009376,-75.133346,490
0000016f-ca9a-3867-0000-000000000078,47b1db6e-cc1e-3ea0-9602-7be90a005cdb,Edgar153 Klocko335,M,GENERAL PRACTICE,8835 GERMANTOWN AVE,PHILADELPHIA,PA,19118,40.009376,-75.133346,714
0000016f-ca9a-3867-0000-000000000082,897aedbb-71c0-30e0-bfde-54e3401c60c9,Johnnie679 Graham902,M,GENERAL PRACTICE,3401 NORTH BROAD STREET,PHILADELPHIA,PA,19140,40.009376,-75.133346,669
0000016f-ca9a-3867-0000-00000000008c,8074c9c5-982f-3d30-8a5f-95f6ba9fde06,Tyree261 Powlowski563,M,GENERAL PRACTICE,1400 LOCUST STREET,PITTSBURGH,PA,15219,40.439753,-79.97659200000002,353
0000016f-ca9a-3867-0000-000000000096,b6fe2cd6-e111-3f09-8b77-f3ab065d67eb,Herb645 Stanton715,M,GENERAL PRACTICE,420 SOUTH JACKSON STREET,POTTSVILLE,PA,17901,40.679854,-76.20921,857
0000016f-ca9a-3867-0000-0000000000a0,9b63562b-57e1-3781-8ae7-bc65e93aafad,Randolph418 Hartmann983,M,GENERAL PRACTICE,700 EAST NORWEGIAN STREET,POTTSVILLE,PA,17901,40.679854,-76.20921,572
0000016f-ca9a-3867-0000-0000000000aa,61e5e203-25db-3afb-a0bb-269b8a08b9df,Emil691 Runolfsdottir785,M,GENERAL PRACTICE,1301 CARLISLE ST,NATRONA,PA,15065,40.151966,-79.88300799999998,1279
0000016f-ca9a-3867-0000-0000000000b4,f3226d7f-4940-363b-a2de-fdac43630ac3,Latisha994 Conn188,F,GENERAL PRACTICE,1021 PARK AVENUE,QUAKERTOWN,PA,18951,40.439678,-75.345766,498
0000016f-ca9a-3867-0000-0000000000be,1c3e07af-7acb-3b1f-a891-10469ecba1e7,Noel608 Price929,M,GENERAL PRACTICE,1000 DUTCH RIDGE ROAD,BEAVER,PA,15009,40.880701,-80.381357,568
0000016f-ca9a-3867-0000-0000000000c8,9662453c-f6a2-3f58-89bd-b4b6994315f8,Devon268 Schuppe920,M,GENERAL PRACTICE,720 BLACKBURN ROAD,SEWICKLEY,PA,15143,40.559463,-80.152783,4019
0000016f-ca9a-3867-0000-0000000000d2,8f95a094-a607-36d4-801b-0084ae0b46a7,Antoinette709 Funk324,F,GENERAL PRACTICE,225 SOUTH CENTER AVENUE,SOMERSET,PA,15501,40.145756,-80.05828299999997,237
0000016f-ca9a-3867-0000-0000000000dc,2a2bb5e2-fe65-3be3-8369-a48a32f0abb3,Carrol931 Kiehn525,M,GENERAL PRACTICE,500 WEST BERKELEY STREET,UNIONTOWN,PA,15401,39.895971,-79.697653,2386
0000016f-ca9a-3867-0000-0000000000e6,268c760b-f628-31ae-a1a4-4294a711324d,Pia232 Nienow652,F,GENERAL PRACTICE,155 WILSON AVENUE,WASHINGTON,PA,15301,40.140771,-75.192577,589
0000016f-ca9a-3867-0000-0000000000f0,08013525-62ea-356f-a358-22a783f1e2bd,Abraham100 Hessel84,M,GENERAL PRACTICE,SIXTH AVENUE AND SPRUCE ST,READING,PA,19603,40.333761,-75.94688599999998,1283
0000016f-ca9a-3867-0000-0000000000fa,ad8c194b-989b-3d99-8943-7c9ea7e207df,Everett935 Dibbert990,M,GENERAL PRACTICE,700 HIGH STREET,WILLIAMSPORT,PA,17701,41.229388,-77.000475,1316
0000016f-ca9a-3867-0000-000000000104,64b40e30-e9a9-3c67-92fd-cf1190cd4045,Darrel772 Daugherty69,M,GENERAL PRACTICE,1001 SOUTH GEORGE STREET,YORK,PA,17403,40.009359,-77.11575500000002,1656
0000016f-ca9a-3867-0000-00000000010e,47975b9c-94c8-351e-830f-fa8e1e353a5d,Amiee221 Kub800,F,GENERAL PRACTICE,400 HIGHLAND AVENUE,LEWISTOWN,PA,17044,40.597229,-77.571516,407
0000016f-ca9a-3867-0000-000000000118,e8498065-fe6f-3238-964c-98d6ba9f150b,Susie661 McCullough561,F,GENERAL PRACTICE,801 OSTRUM STREET,BETHLEHEM,PA,18015,40.097214,-80.102,353
0000016f-ca9a-3867-0000-000000000122,8e730899-e86e-3df9-ba79-71de4658929f,Man114 King743,M,GENERAL PRACTICE,320 EAST NORTH AVENUE,PITTSBURGH,PA,15212,40.439753,-79.97659200000002,200
0000016f-ca9a-3867-0000-00000000012c,71bac7eb-8a31-369e-ae4a-233118a2ce87,Danny396 Farrell962,M,GENERAL PRACTICE,809 TURNPIKE AVE,CLEARFIELD,PA,16830,41.021498,-78.439398,979
0000016f-ca9a-3867-0000-000000000136,c1bbaf91-8bf1-3bde-a191-548ca368a234,Sal878 Medhurst46,M,GENERAL PRACTICE,1225 WARM SPRINGS AVE,HUNTINGDON,PA,16652,40.503929,-77.998542,521
